Region,Quarter,TargetINR
East,2024-Q1,17700000
East,2024-Q2,10800000
East,2024-Q3,12200000
East,2024-Q4,19100000
East,2025-Q1,19800000
East,2025-Q2,15300000
East,2025-Q3,13900000
East,2025-Q4,12800000
West,2024-Q1,15700000
West,2024-Q2,15500000
West,2024-Q3,12200000
West,2024-Q4,9200000
West,2025-Q1,10600000
West,2025-Q2,19500000
West,2025-Q3,13500000
West,2025-Q4,14300000
North,2024-Q1,14100000
North,2024-Q2,17600000
North,2024-Q3,9700000
North,2024-Q4,9900000
North,2025-Q1,12000000
North,2025-Q2,14300000
North,2025-Q3,16300000
North,2025-Q4,14300000
South,2024-Q1,13800000
South,2024-Q2,19300000
South,2024-Q3,10700000
South,2024-Q4,15200000
South,2025-Q1,14900000
South,2025-Q2,14200000
South,2025-Q3,17800000
South,2025-Q4,11900000
