column,dtype,n_null,pct_null,n_unique,sample
Row ID,int64,0,0.0,9994,"1, 2, 3"
Order ID,object,0,0.0,5009,"CA-2016-152156, CA-2016-138688, US-2015-108966"
Order Date,datetime64[ns],0,0.0,1237,"2016-11-08 00:00:00, 2016-06-12 00:00:00, 2015-10-11 00:00:00"
Ship Date,datetime64[ns],0,0.0,1334,"2016-11-11 00:00:00, 2016-06-16 00:00:00, 2015-10-18 00:00:00"
Ship Mode,object,0,0.0,4,"Second Class, Standard Class, First Class"
Customer ID,object,0,0.0,793,"CG-12520, DV-13045, SO-20335"
Customer Name,object,0,0.0,793,"Claire Gute, Darrin Van Huff, Sean O'Donnell"
Segment,object,0,0.0,3,"Consumer, Corporate, Home Office"
Country,object,0,0.0,1,United States
City,object,0,0.0,531,"Henderson, Los Angeles, Fort Lauderdale"
State,object,0,0.0,49,"Kentucky, California, Florida"
Postal Code,int64,0,0.0,631,"42420, 90036, 33311"
Region,object,0,0.0,4,"South, West, Central"
Product ID,object,0,0.0,1862,"FUR-BO-10001798, FUR-CH-10000454, OFF-LA-10000240"
Category,object,0,0.0,3,"Furniture, Office Supplies, Technology"
Sub-Category,object,0,0.0,17,"Bookcases, Chairs, Labels"
Product Name,object,0,0.0,1850,"Bush Somerset Collection Bookcase, Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back, Self-Adhesive Address Labels for Typewriters by Universal"
Sales,float64,0,0.0,5825,"261.96, 731.94, 14.62"
Quantity,int64,0,0.0,14,"2, 3, 5"
Discount,float64,0,0.0,12,"0.0, 0.45, 0.2"
Profit,float64,0,0.0,7287,"41.9136, 219.582, 6.8714"
Ship Days,int64,0,0.0,8,"3, 4, 7"
Order Year,int32,0,0.0,4,"2016, 2015, 2014"
Order Month,datetime64[ns],0,0.0,48,"2016-11-01 00:00:00, 2016-06-01 00:00:00, 2015-10-01 00:00:00"
