Category,Sub-Category,sales,profit,orders,lines,avg_discount,margin
Furniture,Tables,206965.532,-17725.4811,307,319,0.2612852664576803,-0.08564460433923848
Furniture,Bookcases,114879.9963,-3472.556,224,228,0.211140350877193,-0.030227682032054524
Office Supplies,Supplies,46673.538,-1189.0995,187,190,0.0768421052631579,-0.025476952272184723
Office Supplies,Fasteners,3024.28,949.5182,215,217,0.08202764976958525,0.3139650429193064
Technology,Machines,189238.631,3384.7569,112,115,0.3060869565217391,0.01788618360909618
Office Supplies,Labels,12486.312,5546.254,346,364,0.06868131868131869,0.4441867222283089
Office Supplies,Art,27118.792,6527.787,731,796,0.07487437185929649,0.24071083254740847
Office Supplies,Envelopes,16476.402,6964.1767,249,254,0.08031496062992127,0.42267581842200747
Furniture,Furnishings,91705.164,13059.1436,877,957,0.13834900731452457,0.14240357936658832
Office Supplies,Appliances,107532.16100000001,18138.005400000002,451,466,0.1665236051502146,0.16867516872463859
Office Supplies,Storage,223843.608,21278.8264,777,846,0.07470449172576832,0.09506113035847778
Furniture,Chairs,328449.103,26590.1663,576,617,0.17017828200972449,0.08095673289142763
Office Supplies,Binders,203412.733,30221.7633,1316,1523,0.3722915298752462,0.1485736062550224
Office Supplies,Paper,78479.206,34053.5693,1191,1370,0.07489051094890511,0.43391837195702515
Technology,Accessories,167380.318,41936.6357,718,775,0.07845161290322582,0.2505469950176579
Technology,Phones,330007.054,44515.7306,814,889,0.15455568053993252,0.1348932698874976
Technology,Copiers,149528.03,55617.8249,68,68,0.16176470588235295,0.3719558460042575
