,holt_winters,sarima,sarima_lo80,sarima_hi80
2018-01-01,49690.554455906444,52929.03243755394,33805.67922303815,72052.38565206973
2018-02-01,41837.71123734371,35122.0884450301,15998.809732594662,54245.367157465545
2018-03-01,74869.21208656064,71212.8427276853,52041.639378835665,90384.04607653494
2018-04-01,61536.27764269191,51317.14096637003,32103.74779732485,70530.53413541522
2018-05-01,68506.29592603388,61810.71174493709,42554.86431281762,81066.55917705657
2018-06-01,65391.882739781,63878.576252911436,44580.39135297171,83176.76115285116
2018-07-01,67081.82293811276,57901.50694122405,38561.075721600755,77241.93816084735
2018-08-01,66664.51338518504,68937.58530014311,49554.99994097621,88320.17065931001
2018-09-01,108144.15207402359,98286.2810108826,78861.63298564022,117710.92903612497
2018-10-01,77813.6067937361,87243.76329551467,67777.14349168107,106710.38309934827
2018-11-01,115960.04121455352,122420.51927066807,102912.01798864857,141929.02055268758
2018-12-01,117406.8169761482,101495.11738979683,81944.82434969039,121045.41042990326
