OrderID,OrderDate,Region,City,RepID,ProductID,Channel,CustomerSegment,Units,UnitPrice,DiscountPct,ShipDays,Returned
ORD-101056,2024-07-22,North,Chandigarh,R214,P1017,Online,SMB,2,12691.1,0.0,2.0,No
ORD-100301,2024-08-07,West,Ahmedabad,R201,P1014,Online,Consumer,2,39625.68,0.0,3.0,No
ORD-105366,2025-11-22,North,Delhi,R214,P1043,Retail,SMB,4,276.7,0.2,8.0,Yes
ORD-103508,2024-04-05,North,Jaipur,R206,P1031,Retail,SMB,3,858.12,0.0,4.0,No
ORD-104463,2025-02-03,East,Patna,R208,P1026,Retail,SMB,5,8567.02,0.0,3.0,No
ORD-104966,2025-06-30,North,Lucknow,R210,P1041,Partner,Corporate,2,807.65,0.05,6.0,No
ORD-100234,2025-07-08,North,Jaipur,R218,P1006,Online,SMB,2,49997.05,0.0,3.0,No
ORD-102718,2025-03-21,North,Chandigarh,R202,P1035,Partner,SMB,3,340.1,0.0,5.0,No
ORD-105806,2024-03-22,West,Pune,R217,P1013,Online,SMB,4,59993.19,0.0,9.0,No
ORD-103423,2025-08-07,North,Delhi,R214,P1052,Partner,SMB,5,19413.96,0.0,11.0,No
ORD-104726,2025-02-09,East,Kolkata,R200,P1018,Partner,Consumer,3,13776.08,0.05,9.0,No
ORD-104317,2025-08-10,West,Pune,R205,P1048,Retail,SMB,2,17450.56,0.0,9.0,No
ORD-100285,2025-03-25,East,Guwahati,R216,P1034,Retail,Corporate,4,693.4,0.0,8.0,No
ORD-102922,2025-04-01,West,Mumbai,R217,P1045,Partner,Consumer,4,439.26,0.0,5.0,No
ORD-104564,2025-07-28,East,Bhubaneswar,R208,P1046,Online,Consumer,1,14181.16,0.0,8.0,No
ORD-104583,2025-10-19,East,Patna,R204,P1007,Online,Corporate,6,66656.81,0.0,11.0,No
ORD-102804,2025-02-08,West,Surat,R205,P1049,Online,Consumer,3,14996.35,0.1,1.0,No
ORD-104079,2025-07-03,West,Pune,R209,P1022,Online,SMB,3,18225.06,0.05,6.0,No
ORD-105174,2024-06-08,South,Bengaluru,R215,P1040,Retail,SMB,3,876.5,0.15,5.0,No
ORD-100079,2025-02-22,South,Bengaluru,R207,P1007,Partner,Corporate,4,67195.94,0.0,10.0,No
ORD-103875,2024-07-06,South,Chennai,R219,P1007,Partner,SMB,2,66799.96,0.2,2.0,Yes
ORD-104295,2025-03-26,East,Bhubaneswar,R216,P1047,Partner,SMB,5,19793.05,0.05,3.0,No
ORD-100314,2024-07-04,South,Bengaluru,R215,P1033,Retail,Corporate,4,877.9,0.2,5.0,No
ORD-102582,2025-04-16,North,Jaipur,R202,P1034,Partner,Corporate,3,703.23,0.0,2.0,No
ORD-102105,2024-02-24,South,Kochi,R215,P1017,Retail,SMB,7,12031.36,0.0,9.0,No
ORD-101847,2024-06-28,West,Surat,R217,P1053,Partner,Corporate,1,31286.43,0.15,4.0,No
ORD-104517,2025-08-09,North,Lucknow,R202,P1031,Online,Corporate,4,853.87,0.15,1.0,No
ORD-101652,2025-11-28,South,Bengaluru,R207,P1035,Retail,Corporate,2,326.13,0.1,1.0,No
ORD-105535,2024-01-31,South,Chennai,R219,P1032,Online,Corporate,3,845.73,0.1,11.0,No
ORD-104082,2025-08-25,East,Guwahati,R212,P1025,Partner,Corporate,2,16419.49,0.0,2.0,No
ORD-102921,2025-09-20,South,Kochi,R207,P1041,Online,SMB,5,838.22,0.1,3.0,No
ORD-103183,2024-12-20,East,Bhubaneswar,R208,P1006,Partner,Consumer,9,50795.78,0.2,5.0,No
ORD-101256,2025-10-03,East,Bhubaneswar,R204,P1048,Online,SMB,7,17489.49,0.0,9.0,No
ORD-105702,2025-11-19,SOUTH,Bengaluru,R207,P1054,Partner,Corporate,3,18372.43,0.0,3.0,No
ORD-103769,2025-02-12,North,Delhi,R214,P1014,Online,Consumer,3,39840.61,0.0,2.0,No
ORD-100433,2025-08-09,North,Jaipur,R202,P1019,Partner,Corporate,4,9268.46,0.0,11.0,No
ORD-105574,2024-01-11,West,Ahmedabad,R209,P1022,Retail,Consumer,4,18596.34,0.0,8.0,Yes
ORD-103766,2025-03-19,South,Bengaluru,R211,P1050,Partner,SMB,1,14458.83,0.0,1.0,No
ORD-105312,2024-11-23,South,Bengaluru,R207,P1018,Online,Corporate,5,13364.96,0.2,3.0,No
ORD-103751,2024-11-24,North,Chandigarh,R206,P1050,Partner,Corporate,6,14612.18,0.05,4.0,No
ORD-102739,2024-02-10,North,Lucknow,R202,P1028,Partner,SMB,2,21738.96,0.0,1.0,No
ORD-102394,2024-03-20,North,Delhi,R214,P1002,Partner,Consumer,4,79017.77,0.0,5.0,No
ORD-101060,2024-08-12,North,Jaipur,R214,P1025,Retail,SMB,1,16867.03,0.1,4.0,No
ORD-100605,2024-04-29,North,Delhi,R210,P1019,Partner,SMB,4,9344.55,0.0,1.0,No
ORD-101892,2025-10-17,South,Chennai,R215,P1043,Retail,Corporate,4,277.74,0.0,9.0,No
ORD-103444,2024-09-12,East,Guwahati,R208,P1026,Retail,SMB,5,8674.8,0.0,8.0,No
ORD-100147,2025-04-27,West,Surat,R209,P1053,Retail,Corporate,4,31773.05,0.15,1.0,No
ORD-103107,2024-03-10,South,Bengaluru,R203,P1045,Online,SMB,4,438.39,0.0,1.0,No
ORD-104703,2025-05-01,North,Chandigarh,R218,P1006,Retail,Corporate,4,50184.56,0.0,8.0,No
ORD-101831,2025-10-21,North,Lucknow,R202,P1011,Partner,SMB,4,62384.15,0.15,5.0,No
ORD-101999,2025-11-13,West,Pune,R201,P1037,Online,Consumer,3,919.57,0.0,10.0,No
ORD-104539,2025-02-05,West,Mumbai,R205,P1044,Retail,SMB,3,886.18,0.15,8.0,No
ORD-105546,2024-06-05,East,Patna,R208,P1043,Online,Corporate,3,271.33,0.0,5.0,No
ORD-101326,2025-05-21,South,Kochi,R219,P1048,Online,Corporate,4,17530.11,0.05,9.0,No
ORD-103113,2025-04-27,South,Chennai,R207,P1015,Online,Consumer,3,33151.81,0.0,10.0,No
ORD-103191,2025-02-01,East,Guwahati,R208,P1007,Online,SMB,4,68305.09,0.1,8.0,No
ORD-101624,2024-08-15,South,Bengaluru,R219,P1040,Retail,Consumer,2,880.82,0.1,8.0,No
ORD-100808,2024-02-20,West,Surat,R217,P1001,Online,Corporate,1,65950.53,0.0,4.0,No
ORD-102606,2025-10-11,East,Kolkata,R200,P1006,Retail,Consumer,1,51367.71,0.2,3.0,No
ORD-101247,2025-02-12,North,Jaipur,R206,P1017,Online,SMB,4,12095.43,0.05,3.0,No
ORD-100045,2024-06-23,North,Delhi,R214,P1009,Partner,SMB,1,45366.16,0.0,7.0,No
ORD-104367,2025-05-22,South,Hyderabad,R215,P1006,Online,Consumer,3,50894.93,0.0,1.0,No
ORD-104320,2024-11-18,North,Lucknow,R214,P1031,Retail,Consumer,5,832.8,0.0,1.0,No
ORD-104186,2025-05-16,South,Kochi,R219,P1018,Retail,Corporate,7,13847.15,0.05,2.0,Yes
ORD-104205,2024-02-06,West,Ahmedabad,R209,P1018,Online,Corporate,2,13374.35,0.0,7.0,No
ORD-102711,2024-05-11,North,Lucknow,R210,P1003,Online,Corporate,2,32112.5,0.15,9.0,No
ORD-100125,2024-09-27,South,Hyderabad,R207,P1046,Partner,Corporate,1,14348.07,0.0,8.0,No
ORD-100730,2024-09-21,East,Patna,R212,P1012,Online,Corporate,3,92321.8,0.05,4.0,No
ORD-105080,2025-10-22,South,Kochi,R219,P1037,Retail,Consumer,4,929.37,0.0,7.0,No
ORD-105012,2024-09-23,North,Jaipur,R202,P1045,Online,SMB,3,448.87,0.0,6.0,No
ORD-101993,2025-10-04,South,Bengaluru,R219,P1015,Partner,Corporate,5,34000.65,0.15,4.0,No
ORD-103039,2024-05-13,North,Delhi,R206,P1041,Partner,Corporate,4,810.78,0.05,6.0,No
ORD-100276,2025-08-08,East,Patna,R216,P1043,Retail,Corporate,1,284.79,0.05,9.0,No
ORD-100727,2025-06-23,North,Lucknow,R210,P1028,Retail,SMB,5,22177.53,0.0,8.0,No
ORD-102897,2025-08-24,East,Kolkata,R208,P1003,Retail,Consumer,1,33348.32,0.1,7.0,Yes
ORD-100169,2024-11-25,West,Pune,R209,P1023,Partner,SMB,4,25771.22,0.1,,No
ORD-102399,2025-08-15,East,Kolkata,R216,P1009,Online,Consumer,6,44836.2,0.1,6.0,No
ORD-100248,2025-09-12,West,Pune,R209,P1008,Retail,SMB,3,41795.8,0.0,4.0,No
ORD-100179,2025-11-09,North,Jaipur,R210,P1023,Online,Consumer,3,25455.28,0.0,3.0,No
ORD-103290,2025-07-03,West,Mumbai,R217,P1020,Online,Corporate,4,12178.37,0.0,8.0,No
ORD-104924,2024-03-13,East,Patna,R216,P1016,Partner,Corporate,2,25505.52,0.0,,No
ORD-100943,2025-07-21,North,Jaipur,R214,P1035,Retail,SMB,2,340.92,0.0,3.0,No
ORD-103814,2024-05-26,North,Chandigarh,R218,P1046,Partner,SMB,3,14334.9,0.0,8.0,No
ORD-105215,2025-08-10,East,Bhubaneswar,R200,P1002,Online,SMB,4,78418.04,0.0,2.0,No
ORD-105789,2024-03-09,East,Patna,R204,P1018,Retail,Corporate,2,13533.69,0.0,7.0,No
ORD-101893,2024-03-17,North,Lucknow,R202,P1018,Retail,Consumer,2,13990.46,0.0,1.0,No
ORD-103836,2024-08-23,West,Ahmedabad,R205,P1031,Retail,SMB,2,834.1,0.1,3.0,No
ORD-103982,2025-12-22,North,Delhi,R218,P1017,Partner,Consumer,3,12644.19,0.0,3.0,Yes
ORD-102912,2024-12-30,West,Pune,R205,P1020,Online,SMB,6,12059.41,0.2,2.0,Yes
ORD-103721,2025-08-12,East,Guwahati,R204,P1015,Retail,SMB,1,33702.1,0.0,4.0,No
ORD-104784,2024-09-29,East,Guwahati,R212,P1004,Retail,Corporate,3,75375.56,0.0,10.0,No
ORD-103504,2024-02-22,East,Bhubaneswar,R204,P1007,Partner,SMB,4,67596.43,0.0,6.0,No
ORD-104120,2025-11-05,North,Delhi,R202,P1016,Partner,Consumer,4,24837.89,0.05,4.0,No
ORD-104711,2024-12-29,East,Guwahati,R212,P1010,Partner,Corporate,4,71794.55,0.15,11.0,No
ORD-101998,2025-05-25,East,Bhubaneswar,R212,P1004,Partner,SMB,3,73906.66,0.0,8.0,No
ORD-105992,2025-01-29,East,Bhubaneswar,R200,P1017,Partner,Corporate,2,12237.51,0.0,1.0,No
ORD-102023,2025-04-17,East,Kolkata,R216,P1045,Online,Corporate,2,443.21,0.0,5.0,No
